Ticker,Full_Ticker,Name,Sector,Industry_GICS,Index_Membership,Market_Cap,Net_Debt,Minority_Interest,EV,EBITDA,Net_Income,Equity,Avg_EBITDA_Margin_Forecast_10y,EBITDA_Forecast_CAGR_10y,Avg_Net_Income_Margin_Forecast_10y,Net_Income_Forecast_CAGR_10y,ROE,Beta_5y,Net_Debt_perc_EV,EV_TTM_EBITDA,Market_Cap_TTM_Net_Income,Market_Cap_BV_Equity
CLX,NYSE:CLX,The Clorox Company,Consumer Staples,Household Products,"Russell 1000, Russell 3000, S&P 500, S&P 500 Consumer Staples Sector"," 25,385 "," 2,253 ", 196 ," 27,834 "," 1,621 "," 1,151 "," 1,311 ",22%,3%,14%,3%,138%, 0.20 ,8%,17.2, 22.1 , 19.4 
ANSS,NASDAQGS:ANSS,"ANSYS, Inc.",Information Technology,Software,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Information Techonology Sector"," 31,117 ",-299 , -   ," 30,817 ", 507 , 384 ," 3,590 ",45%,7%,35%,7%,12%, 1.22 ,-1%,60.8, 81.0 , 8.7 
HRL,NYSE:HRL,Hormel Foods Corporation,Consumer Staples,Food Products,"Russell 1000, Russell 3000, S&P 500, S&P 500 Consumer Staples Sector"," 25,392 ",-373 , 5 ," 25,024 "," 1,342 ", 908 ," 6,430 ",14%,1%,10%,1%,15%,-0.07 ,-1%,18.6, 28.0 , 3.9 
PH,NYSE:PH,Parker-Hannifin Corporation,Industrials,Machinery,"Russell 1000, Russell 3000, S&P 500, S&P 500 Industrials Sector"," 34,464 "," 7,166 ", 15 ," 41,646 "," 2,574 "," 1,189 "," 6,544 ",20%,3%,12%,6%,19%, 1.76 ,17%,16.2, 29.0 , 5.3 
RMD,NYSE:RMD,ResMed Inc.,Healthcare,Healthcare Equipment & Supplies,"Russell 1000, Russell 3000, S&P 500, S&P 500 Healthcare Sector"," 30,674 ", 768 , -   ," 31,442 ", 974 , 680 ," 2,679 ",32%,4%,24%,5%,28%, 0.32 ,2%,32.3, 45.1 , 11.5 
AZO,NYSE:AZO,"AutoZone, Inc.",Consumer Discretionary,Specialty Retail,"Russell 1000, Russell 3000, S&P 500, S&P 500 Consumer Discretionary Sector"," 27,088 "," 6,713 ", -   ," 33,800 "," 3,014 "," 1,825 ","-1,027 ",22%,2%,13%,2%,NM, 0.84 ,20%,11.2, 14.8 ,  
SWK,NYSE:SWK,"Stanley Black & Decker, Inc.",Industrials,Machinery,"Russell 1000, Russell 3000, S&P 500, S&P 500 Industrials Sector"," 28,683 "," 4,620 ", 6 ," 33,310 "," 2,228 ", 966 ," 10,379 ",19%,4%,10%,7%,12%, 1.48 ,14%,15.0, 29.7 , 2.8 
AIG,NYSE:AIG,"American International Group, Inc.",Financials,Insurance,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Financial Sector"," 31,704 "," 35,046 ", 499 ," 67,249 "," 9,060 ","-4,962 "," 64,607 ",19%,-2%,9%,4%,-8%, 1.38 ,52%,7.4,  , 0.5 
MRNA,NASDAQGS:MRNA,"Moderna, Inc.",Healthcare,Biotechnology,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000"," 49,812 ","-3,064 ", -   ," 46,748 ",-585 ,-598 ," 2,760 ",43%,NM,25%,NM,-30%, 1.83 ,-7%,,  , 18.0 
MCHP,NASDAQGS:MCHP,Microchip Technology Incorporated,Information Technology,Semiconductors & Semiconductor Equipment,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Information Techonology Sector"," 35,659 "," 8,847 ", -   ," 44,506 "," 1,964 ", 608 ," 5,444 ",44%,5%,34%,16%,11%, 1.70 ,20%,22.7, 58.6 , 6.6 
CPRT,NASDAQGS:CPRT,"Copart, Inc.",Industrials,Commercial Services & Supplies,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Industrials Sector"," 29,054 ",-80 , -   ," 28,974 ", 956 , 682 ," 2,711 ",45%,5%,31%,4%,29%, 1.03 ,0%,30.3, 42.6 , 10.7 
OTIS,NYSE:OTIS,Otis Worldwide Corporation,Industrials,Machinery,"Russell 1000, Russell 3000, S&P 500, S&P 500 Industrials Sector"," 28,335 "," 4,692 ", 641 ," 33,668 "," 1,995 ", 873 ,"-3,383 ",17%,3%,9%,2%,NA, -   ,14%,16.9, 32.5 ,  
APTV,NYSE:APTV,Aptiv PLC,Consumer Discretionary,Auto Components,"Russell 1000, Russell 3000, S&P 500, S&P 500 Consumer Discretionary Sector"," 33,764 "," 2,302 ", 191 ," 36,257 "," 1,416 "," 1,735 "," 7,554 ",17%,6%,9%,7%,31%, 2.25 ,6%,25.6, 19.5 , 4.5 
ALXN,NASDAQGS:ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Healthcare Sector"," 33,661 ", 674 , -   ," 34,334 "," 3,105 ", 957 ," 11,075 ",56%,6%,44%,4%,9%, 1.25 ,2%,11.1, 35.2 , 3.0 
DHI,NYSE:DHI,"D.R. Horton, Inc.",Consumer Discretionary,Household Durables,"Russell 1000, Russell 3000, S&P 500, S&P 500 Consumer Discretionary Sector"," 26,353 "," 1,374 ", 282 ," 28,008 "," 3,019 "," 2,374 "," 12,122 ",16%,6%,12%,5%,22%, 1.72 ,5%,9.3, 11.1 , 2.2 
WLTW,NASDAQGS:WLTW,Willis Towers Watson Public Limited Company,Financials,Insurance,"Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Financial Sector"," 27,021 "," 5,025 ", 105 ," 32,151 "," 2,204 "," 1,064 "," 10,620 ",26%,4%,17%,7%,10%, 0.79 ,16%,14.6, 25.4 , 2.5 
KR,NYSE:KR,The Kroger Co.,Consumer Staples,Food & Staples Retailing,"Russell 1000, Russell 3000, S&P 500, S&P 500 Consumer Staples Sector"," 23,518 "," 18,491 ",-26 ," 41,983 "," 6,596 "," 2,989 "," 10,044 ",5%,1%,2%,2%,31%, 0.34 ,44%,6.4, 7.9 , 2.3 
MKC,NYSE:MKC,"McCormick & Company, Incorporated",Consumer Staples,Food Products,"Russell 1000, Russell 3000, S&P 500, S&P 500 Consumer Staples Sector"," 24,796 "," 4,092 ", 13 ," 28,902 "," 1,194 ", 760 ," 3,946 ",22%,3%,14%,3%,21%, 0.44 ,14%,24.2, 32.6 , 6.3 
TDG,NYSE:TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense,"Russell 1000, Russell 3000, S&P 500, S&P 500 Industrials Sector"," 32,456 "," 15,840 ", 4 ," 48,300 "," 2,123 ", 699 ,"-3,968 ",48%,4%,19%,11%,NM, 1.62 ,33%,22.8, 46.4 ,  
LBRD.A,NASDAQGS:LBRD.A,Liberty Broadband Corporation,Communication Services,Media,"Nasdaq Composite, Russell 1000, Russell 3000"," 27,535 ", 918 , -   ," 28,453 ",-40 , 225 ," 10,487 ",-54%,NM,1209%,-10%,2%, 1.05 ,3%,, 122.2 , 2.6 
FAST,NASDAQGS:FAST,Fastenal Company,Industrials,Trading Companies & Distributors,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Industrials Sector"," 28,398 ", 320 , -   ," 28,718 "," 1,273 ", 842 ," 2,886 ",23%,4%,15%,4%,31%, 1.20 ,1%,22.6, 33.7 , 9.8 
FCX,NYSE:FCX,Freeport-McMoRan Inc.,Materials,Metals & Mining,"Russell 1000, Russell 3000, S&P 500, S&P 500 Materials Sector"," 35,232 "," 7,524 "," 8,326 "," 51,082 "," 3,047 ",-100 ," 17,562 ",40%,15%,12%,NM,-1%, 2.30 ,15%,16.8,  , 2.0 
PRU,NYSE:PRU,"Prudential Financial, Inc.",Financials,Insurance,"Russell 1000, Russell 3000, S&P 500, S&P 500 Financial Sector"," 29,655 "," 15,811 ", 673 ," 46,139 ", 650 ,-65 ," 66,890 ",9%,1%,8%,3%,0%, 1.71 ,34%,71.0,  , 0.4 
SIRI,NASDAQGS:SIRI,Sirius XM Holdings Inc.,Communication Services,Media,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000"," 26,644 "," 8,277 ", -   ," 34,921 "," 2,290 "," 1,051 ",-911 ,31%,4%,15%,5%,NM, 1.14 ,24%,15.2, 25.4 ,  
MTD,NYSE:MTD,Mettler-Toledo International Inc.,Healthcare,Life Sciences Tools & Services,"Russell 1000, Russell 3000, S&P 500, S&P 500 Healthcare Sector"," 26,781 "," 1,074 ", -   ," 27,855 ", 816 , 579 , 443 ,29%,4%,21%,4%,131%, 1.05 ,4%,34.1, 46.2 , 60.4 
GLW,NYSE:GLW,Corning Incorporated,Information Technology,"Electronic Equipment, Instruments & Components","Russell 1000, Russell 3000, S&P 500, S&P 500 Information Techonology Sector"," 27,587 "," 6,259 ", 197 ," 34,043 "," 2,248 ", 292 ," 12,857 ",31%,6%,14%,10%,2%, 1.17 ,18%,15.1, 94.5 , 2.1 
AFL,NYSE:AFL,Aflac Incorporated,Financials,Insurance,"Russell 1000, Russell 3000, S&P 500, S&P 500 Financial Sector"," 30,226 "," 3,757 ", -   ," 33,983 "," 4,272 "," 4,607 "," 32,479 ",20%,-1%,15%,0%,15%, 0.99 ,11%,8.0, 6.6 , 0.9 
RNG,NYSE:RNG,"RingCentral, Inc.",Information Technology,Software,"Russell 1000, Russell 3000"," 36,078 ", 718 , -   ," 36,796 ",-27 ,-106 , 298 ,16%,56%,10%,NM,-32%, 0.65 ,2%,,  , 121.2 
CTVA,NYSE:CTVA,"Corteva, Inc.",Materials,Chemicals,"Russell 1000, Russell 3000, S&P 500, S&P 500 Materials Sector"," 29,041 ", 324 , 240 ," 29,605 "," 2,254 ", 619 ," 24,346 ",17%,4%,9%,NM,2%, -   ,1%,13.1, 46.9 , 1.2 
HPQ,NYSE:HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Russell 1000, Russell 3000, S&P 500, S&P 500 Information Techonology Sector"," 31,158 "," 2,257 ", -   ," 33,415 "," 4,710 "," 2,844 ","-2,228 ",9%,1%,6%,2%,NM, 1.08 ,7%,7.1, 11.0 ,  
DTE,NYSE:DTE,DTE Energy Company,Utilities,Multi-Utilities,"Russell 1000, Russell 3000, S&P 500, S&P 500 Utilities Sector"," 23,018 "," 18,877 ", 165 ," 42,060 "," 3,029 "," 1,360 "," 12,488 ",33%,5%,12%,2%,12%, 0.58 ,45%,13.9, 16.9 , 1.8 
MCK,NYSE:MCK,McKesson Corporation,Healthcare,Healthcare Providers & Services,"Russell 1000, Russell 3000, S&P 500, S&P 500 Healthcare Sector"," 27,298 "," 6,618 "," 1,465 "," 35,381 "," 3,817 "," 2,228 "," 7,355 ",2%,3%,1%,14%,36%, 0.93 ,19%,9.3, 12.3 , 3.7 
SWKS,NASDAQGS:SWKS,"Skyworks Solutions, Inc.",Information Technology,Semiconductors & Semiconductor Equipment,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Information Techonology Sector"," 24,818 ",-801 , -   ," 24,016 "," 1,259 ", 815 ," 4,164 ",44%,6%,33%,8%,20%, 1.22 ,-3%,19.1, 30.5 , 6.0 
HLT,NYSE:HLT,Hilton Worldwide Holdings Inc.,Consumer Discretionary,"Hotels, Restaurants & Leisure","Russell 1000, Russell 3000, S&P 500, S&P 500 Consumer Discretionary Sector"," 28,563 "," 8,296 ", 5 ," 36,864 ", 647 ,-316 ,"-1,319 ",64%,7%,29%,8%,NM, 1.32 ,23%,57.0,  ,  
LYB,NYSE:LYB,LyondellBasell Industries N.V.,Materials,Chemicals,"Russell 1000, Russell 3000, S&P 500, S&P 500 Materials Sector"," 29,989 "," 13,332 ", 133 ," 43,454 "," 3,472 "," 1,177 "," 7,439 ",16%,2%,8%,0%,15%, 1.55 ,31%,12.5, 25.5 , 4.0 
WMB,NYSE:WMB,"The Williams Companies, Inc.",Energy,"Oil, Gas & Consumable Fuels","Russell 1000, Russell 3000, S&P 500, S&P 500 Energy Sector"," 25,012 "," 22,313 "," 2,833 "," 50,158 "," 4,203 ", 219 ," 14,898 ",67%,4%,18%,7%,2%, 1.70 ,44%,11.9, 114.2 , 1.7 
AME,NYSE:AME,"AMETEK, Inc.",Industrials,Electrical Equipment,"Russell 1000, Russell 3000, S&P 500, S&P 500 Industrials Sector"," 27,069 "," 1,669 ", -   ," 28,738 "," 1,299 ", 872 ," 5,704 ",30%,3%,20%,4%,17%, 1.37 ,6%,22.1, 31.0 , 4.7 
LUV,NYSE:LUV,Southwest Airlines Co.,Industrials,Airlines,"Dow Jones Composite Average, Dow Jones Transportation Average, Russell 1000, Russell 3000, S&P 500, S&P 500 Industrials Sector"," 26,751 ","-1,928 ", -   ," 24,823 ", 229 ,"-1,653 "," 9,769 ",19%,9%,8%,8%,-17%, 1.24 ,-8%,108.4,  , 2.7 
XP,NASDAQGS:XP,XP Inc.,Financials,Capital Markets,Nasdaq Composite," 22,530 ","-11,716 ", 1 ," 10,815 "," 2,554 "," 1,864 "," 8,671 ",37%,18%,28%,20%,33%, -   ,-108%,4.2, 12.1 , 2.6 
LEN,NYSE:LEN,Lennar Corporation,Consumer Discretionary,Household Durables,"Russell 1000, Russell 3000, S&P 500, S&P 500 Consumer Discretionary Sector"," 24,528 "," 3,252 ", 105 ," 27,885 "," 3,190 "," 2,465 "," 18,099 ",16%,8%,11%,7%,15%, 1.57 ,12%,8.7, 10.0 , 1.4 
GMAB,NASDAQGS:GMAB,Genmab A/S,Healthcare,Biotechnology,Nasdaq Composite," 25,968 ","-17,132 ", -   ," 8,836 "," 7,779 "," 5,649 "," 18,477 ",48%,11%,43%,13%,36%, 0.60 ,-194%,1.1, 4.6 , 1.4 
ODFL,NASDAQGS:ODFL,"Old Dominion Freight Line, Inc.",Industrials,Road & Rail,"Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Industrials Sector"," 23,309 ",-379 , -   ," 22,930 "," 1,102 ", 627 ," 3,171 ",31%,5%,18%,5%,21%, 1.04 ,-2%,20.8, 37.2 , 7.4 
YUMC,NYSE:YUMC,"Yum China Holdings, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure","Russell 1000, Russell 3000"," 23,991 ","-1,947 ", 245 ," 22,289 "," 1,017 ", 723 ," 6,207 ",16%,5%,9%,4%,16%, 0.85 ,-9%,21.9, 33.2 , 3.9 
CHD,NYSE:CHD,"Church & Dwight Co., Inc.",Consumer Staples,Household Products,"Russell 1000, Russell 3000, S&P 500, S&P 500 Consumer Staples Sector"," 21,506 "," 1,430 ", -   ," 22,936 "," 1,113 ", 780 ," 3,210 ",24%,4%,15%,4%,27%, 0.37 ,6%,20.6, 27.6 , 6.7 
WELL,NYSE:WELL,Welltower Inc.,Real Estate,Equity Real Estate Investment Trusts (REITs),"Russell 1000, Russell 3000, S&P 500, S&P 500 Real Estate Sector"," 26,152 "," 12,605 "," 1,183 "," 39,941 "," 2,048 "," 1,039 "," 17,291 ",42%,1%,8%,-8%,7%, 1.00 ,32%,19.5, 25.2 , 1.5 
K,NYSE:K,Kellogg Company,Consumer Staples,Food Products,"Russell 1000, Russell 3000, S&P 500, S&P 500 Consumer Staples Sector"," 21,032 "," 7,627 ", 542 ," 29,201 "," 2,314 "," 1,191 "," 3,586 ",17%,1%,10%,4%,41%, 0.59 ,26%,12.6, 17.7 , 5.9 
VRSN,NASDAQGS:VRSN,"VeriSign, Inc.",Information Technology,IT Services,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Information Techonology Sector"," 24,687 ", 644 , -   ," 25,331 ", 865 , 806 ,"-1,386 ",70%,3%,57%,5%,NM, 0.81 ,3%,29.3, 30.6 ,  
CERN,NASDAQGS:CERN,Cerner Corporation,Healthcare,Health Care Technology,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Healthcare Sector"," 23,724 ", 610 , -   ," 24,334 "," 1,247 ", 793 ," 4,406 ",33%,7%,18%,9%,18%, 0.75 ,3%,19.5, 29.9 , 5.4 
DLTR,NASDAQGS:DLTR,"Dollar Tree, Inc.",Consumer Discretionary,Multiline Retail,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Consumer Discretionary Sector"," 25,631 "," 8,666 ", -   ," 34,297 "," 2,715 ", 962 ," 6,961 ",10%,4%,6%,8%,15%, 0.77 ,25%,12.6, 26.6 , 3.7 
PANW,NYSE:PANW,"Palo Alto Networks, Inc.",Information Technology,Software,"Russell 1000, Russell 3000"," 36,025 ", 226 , -   ," 36,251 ", 30 ,-300 , 747 ,27%,100%,17%,NM,-26%, 1.48 ,1%,1200.3,  , 48.2 
EIX,NYSE:EIX,Edison International,Utilities,Electric Utilities,"Dow Jones Composite Average, Dow Jones Utilities Average, Russell 1000, Russell 3000, S&P 500, S&P 500 Utilities Sector"," 23,210 "," 22,758 "," 1,901 "," 47,869 "," 4,574 ", 356 ," 15,649 ",40%,5%,13%,5%,3%, 0.54 ,48%,10.5, 65.2 , 1.5 
PAYC,NYSE:PAYC,"Paycom Software, Inc.",Information Technology,Software,"Russell 1000, Russell 3000, S&P 500, S&P 500 Information Techonology Sector"," 26,806 ",-104 , -   ," 26,702 ", 242 , 164 , 632 ,43%,12%,28%,10%,30%, 1.52 ,0%,110.4, 163.0 , 42.4 
FRC,NYSE:FRC,First Republic Bank,Financials,Banks,"Russell 1000, Russell 3000, S&P 500, S&P 500 Financial Sector"," 23,737 "," 12,558 ", -   ," 36,295 ", -   ," 1,015 "," 11,345 ",13%,19%,27%,6%,11%, 1.05 ,35%,, 23.4 , 2.1 
MKTX,NASDAQGS:MKTX,MarketAxess Holdings Inc.,Financials,Capital Markets,"Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Financial Sector"," 22,411 ",-240 , -   ," 22,171 ", 374 , 277 , 898 ,59%,8%,43%,7%,35%, 0.40 ,-1%,59.2, 81.0 , 25.0 
PPL,NYSE:PPL,PPL Corporation,Utilities,Electric Utilities,"Russell 1000, Russell 3000, S&P 500, S&P 500 Utilities Sector"," 20,243 "," 23,490 ", -   ," 43,733 "," 4,428 "," 1,543 "," 13,686 ",56%,2%,24%,3%,12%, 0.75 ,54%,9.9, 13.1 , 1.5 
FTV,NYSE:FTV,Fortive Corporation,Industrials,Machinery,"Russell 1000, Russell 3000, S&P 500, S&P 500 Industrials Sector"," 23,084 "," 4,435 ", 12 ," 27,531 "," 1,627 ", 591 ," 7,688 ",26%,0%,18%,6%,7%, 1.22 ,16%,16.9, 39.1 , 3.0 
WST,NYSE:WST,"West Pharmaceutical Services, Inc.",Healthcare,Healthcare Equipment & Supplies,"Russell 1000, Russell 3000, S&P 500, S&P 500 Healthcare Sector"," 20,915 ",-190 , -   ," 20,725 ", 476 , 312 ," 1,719 ",28%,9%,17%,9%,19%, 1.03 ,-1%,43.5, 67.1 , 12.2 
TSN,NYSE:TSN,"Tyson Foods, Inc.",Consumer Staples,Food Products,"Russell 1000, Russell 3000, S&P 500, S&P 500 Consumer Staples Sector"," 22,751 "," 10,448 ", 132 ," 33,331 "," 5,013 "," 2,140 "," 15,597 ",10%,1%,5%,2%,14%, 0.74 ,31%,6.6, 10.6 , 1.5 
STT,NYSE:STT,State Street Corporation,Financials,Capital Markets,"Russell 1000, Russell 3000, S&P 500, S&P 500 Financial Sector"," 24,763 ","-52,391 ", -   ,"-27,628 ", -   ," 2,447 "," 25,558 ",8%,0%,20%,NM,10%, 1.63 ,190%,, 10.1 , 1.0 
ETR,NYSE:ETR,Entergy Corporation,Utilities,Electric Utilities,"Russell 1000, Russell 3000, S&P 500, S&P 500 Utilities Sector"," 19,224 "," 20,821 ", 254 ," 40,300 "," 3,780 "," 1,385 "," 11,026 ",40%,2%,12%,1%,13%, 0.50 ,52%,10.7, 13.9 , 1.7 
ARE,NYSE:ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,Equity Real Estate Investment Trusts (REITs),"Russell 1000, Russell 3000, S&P 500, S&P 500 Real Estate Sector"," 23,735 "," 7,703 "," 1,633 "," 33,072 "," 1,149 ", 532 ," 12,335 ",65%,6%,17%,2%,6%, 0.80 ,23%,28.8, 44.6 , 1.9 
WY,NYSE:WY,Weyerhaeuser Company,Real Estate,Equity Real Estate Investment Trusts (REITs),"Russell 1000, Russell 3000, S&P 500, S&P 500 Real Estate Sector"," 24,893 "," 5,217 ", -   ," 30,110 "," 1,638 ", 491 ," 8,527 ",26%,7%,12%,NM,6%, 1.90 ,17%,18.4, 50.7 , 2.9 
Z,NASDAQGS:Z,"Zillow Group, Inc.",Communication Services,Interactive Media & Services,"Nasdaq Composite, Russell 1000, Russell 3000"," 33,130 ","-1,469 ", -   ," 31,661 ",-39 ,-309 ," 4,303 ",13%,NM,9%,NM,-8%, 1.42 ,-5%,,  , 7.7 
YNDX,NASDAQGS:YNDX,Yandex N.V.,Communication Services,Interactive Media & Services,Nasdaq Composite," 23,649 ","-152,005 "," 26,860 ","-101,496 "," 32,906 "," 25,650 "," 348,098 ",27%,18%,18%,27%,10%, 1.44 ,150%,, 0.9 , 0.1 
IMMU,NASDAQGM:IMMU,"Immunomedics, Inc.",Healthcare,Biotechnology,"Nasdaq Composite, Russell 1000, Russell 3000", -   , -   , -   , -   , -   , -   , -   ,0%,0%,0%,0%,0%, -   ,,,  ,  
ROL,NYSE:ROL,"Rollins, Inc.",Industrials,Commercial Services & Supplies,"Russell 1000, Russell 3000, S&P 500, S&P 500 Industrials Sector"," 20,083 ", 288 , -   ," 20,371 ", 442 , 249 , 933 ,21%,4%,12%,6%,29%, 0.44 ,1%,46.0, 80.7 , 21.5 
AEE,NYSE:AEE,Ameren Corporation,Utilities,Multi-Utilities,"Russell 1000, Russell 3000, S&P 500, S&P 500 Utilities Sector"," 18,924 "," 10,795 ", 142 ," 29,861 "," 2,448 ", 850 ," 8,631 ",45%,4%,16%,4%,10%, 0.21 ,36%,12.2, 22.3 , 2.2 
NDAQ,NASDAQGS:NDAQ,"Nasdaq, Inc.",Financials,Capital Markets,"Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Financial Sector"," 21,308 "," 3,406 ", 3 ," 24,717 "," 1,464 ", 911 ," 6,014 ",55%,4%,36%,5%,16%, 0.78 ,14%,16.9, 23.4 , 3.5 
AJG,NYSE:AJG,Arthur J. Gallagher & Co.,Financials,Insurance,"Russell 1000, Russell 3000, S&P 500, S&P 500 Financial Sector"," 23,811 "," 4,324 ", 47 ," 28,182 "," 1,549 ", 775 ," 5,818 ",27%,8%,13%,6%,15%, 0.71 ,15%,18.2, 30.7 , 4.1 
O,NYSE:O,Realty Income Corporation,Real Estate,Equity Real Estate Investment Trusts (REITs),"Russell 1000, Russell 3000, S&P 500, S&P 500 Real Estate Sector"," 21,386 "," 7,901 ", 29 ," 29,317 "," 1,484 ", 407 ," 10,500 ",84%,2%,25%,1%,4%, 0.62 ,27%,19.7, 52.6 , 2.0 
LH,NYSE:LH,Laboratory Corporation of America Holdings,Healthcare,Healthcare Providers & Services,"Russell 1000, Russell 3000, S&P 500, S&P 500 Healthcare Sector"," 19,810 "," 6,017 ", 20 ," 25,847 "," 2,552 ", 845 ," 8,259 ",19%,2%,11%,5%,11%, 1.09 ,23%,10.1, 23.4 , 2.4 
SLB,NYSE:SLB,Schlumberger Limited,Energy,Energy Equipment & Services,"Russell 1000, Russell 3000, S&P 100, S&P 500, S&P 500 Energy Sector"," 29,734 "," 13,926 ", 428 ," 44,088 "," 4,818 ","-10,559 "," 12,369 ",21%,0%,7%,NM,-59%, 2.30 ,32%,9.2,  , 2.4 
COUP,NASDAQGS:COUP,Coupa Software Incorporated,Information Technology,Software,"Nasdaq Composite, Russell 1000, Russell 3000"," 26,066 ", 157 , -   ," 26,223 ",-55 ,-143 , 413 ,24%,NM,12%,NM,-33%, 1.54 ,1%,,  , 63.1 
ABC,NYSE:ABC,AmerisourceBergen Corporation,Healthcare,Healthcare Providers & Services,"Russell 1000, Russell 3000, S&P 500, S&P 500 Healthcare Sector"," 19,755 ",-0 , 179 ," 19,934 "," 2,469 ","-3,409 ",-840 ,1%,3%,1%,NM,-237%, 0.56 ,0%,8.1,  ,  
KEYS,NYSE:KEYS,"Keysight Technologies, Inc.",Information Technology,"Electronic Equipment, Instruments & Components","Russell 1000, Russell 3000, S&P 500, S&P 500 Information Techonology Sector"," 23,948 ", 225 , -   ," 24,173 "," 1,103 ", 627 ," 3,297 ",29%,5%,23%,8%,20%, 1.05 ,1%,21.9, 38.2 , 7.3 
KKR,NYSE:KKR,KKR & Co. Inc.,Financials,Capital Markets,"Russell 1000, Russell 3000"," 22,477 "," 27,353 "," 21,846 "," 71,676 ", -   ," 1,015 "," 34,044 ",94%,47%,57%,-3%,10%, 1.44 ,38%,, 22.2 , 0.7 
PSX,NYSE:PSX,Phillips 66,Energy,"Oil, Gas & Consumable Fuels","Russell 1000, Russell 3000, S&P 500, S&P 500 Energy Sector"," 29,488 "," 13,064 "," 2,583 "," 45,135 "," 1,322 ","-2,700 "," 22,305 ",8%,11%,4%,8%,-12%, 1.65 ,29%,34.1,  , 1.3 
FTNT,NASDAQGS:FTNT,"Fortinet, Inc.",Information Technology,Software,"Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Information Techonology Sector"," 24,699 ","-1,609 ", -   ," 23,090 ", 507 , 455 , 713 ,32%,14%,23%,13%,48%, 1.09 ,-7%,45.6, 54.3 , 34.6 
EXAS,NASDAQCM:EXAS,Exact Sciences Corporation,Healthcare,Biotechnology,"Nasdaq Composite, Russell 1000, Russell 3000"," 22,601 ", 448 , -   ," 23,049 ",-50 ,-334 ," 2,337 ",7%,NM,-62%,NM,-22%, 1.65 ,2%,,  , 9.7 
DFS,NYSE:DFS,Discover Financial Services,Financials,Consumer Finance,"Russell 1000, Russell 3000, S&P 500, S&P 500 Financial Sector"," 26,616 "," 23,030 ", -   ," 49,646 ", -   ," 1,050 "," 10,252 ",73%,40%,22%,2%,10%, 1.77 ,46%,, 25.3 , 2.6 
ZS,NASDAQGS:ZS,"Zscaler, Inc.",Information Technology,Software,"Nasdaq Composite, Russell 1000, Russell 3000"," 27,748 ",-489 , -   ," 27,260 ",-102 ,-153 , 492 ,22%,NM,17%,NM,-38%, 0.82 ,-2%,,  , 56.4 
AMP,NYSE:AMP,"Ameriprise Financial, Inc.",Financials,Capital Markets,"Russell 1000, Russell 3000, S&P 500, S&P 500 Financial Sector"," 21,833 ","-3,815 ", -   ," 18,018 "," 3,091 "," 1,820 "," 6,067 ",31%,5%,17%,4%,30%, 1.75 ,-21%,5.8, 12.0 , 3.6 
INCY,NASDAQGS:INCY,Incyte Corporation,Healthcare,Biotechnology,"Nasdaq 100, Nasdaq Composite, Russell 1000, Russell 3000, S&P 500, S&P 500 Healthcare Sector"," 19,269 ","-1,664 ", -   ," 17,606 ",-258 ,-335 ," 2,391 ",26%,11%,34%,15%,-14%, 0.96 ,-9%,,  , 8.1 
EOG,NYSE:EOG,"EOG Resources, Inc.",Energy,"Oil, Gas & Consumable Fuels","Russell 1000, Russell 3000, S&P 500, S&P 500 Energy Sector"," 28,498 "," 2,911 ", -   ," 31,409 "," 5,428 ",-306 ," 20,148 ",50%,1%,12%,-2%,-1%, 2.10 ,9%,5.8,  , 1.4 
GWW,NYSE:GWW,"W.W. Grainger, Inc.",Industrials,Trading Companies & Distributors,"Russell 1000, Russell 3000, S&P 500, S&P 500 Industrials Sector"," 22,022 "," 1,541 ", 244 ," 23,807 "," 1,553 ", 630 ," 2,375 ",14%,2%,8%,4%,31%, 1.16 ,6%,15.3, 35.0 , 9.3 
